مفتاح الموقع,البلدية,اسم الحي
أحد|كتانة,أحد,كتانة
أحد|الغابة,أحد,الغابة
أحد|بنى حارثة,أحد,بنى حارثة
بلدية المنطقة المركزية|الجمعة,بلدية المنطقة المركزية,الجمعة
أحد|الشهداء,أحد,الشهداء
أحد|الصادقية,أحد,الصادقية
بلدية المنطقة المركزية|السقيا,بلدية المنطقة المركزية,السقيا
العقيق|الجامعة,العقيق,الجامعة
العقيق|السقيا,العقيق,السقيا
العقيق|طيبة,العقيق,طيبة
العقيق|ورقان,العقيق,ورقان
العقيق|السيح,العقيق,السيح
العقيق|السـلام,العقيق,السـلام
قباء|أبوبريقاء,قباء,أبوبريقاء
العقيق|العزيزية,العقيق,العزيزية
العقيق|العنابس,العقيق,العنابس
أحد|النخيل,أحد,النخيل
العقيق|أبوكبير,العقيق,أبوكبير
العقيق|الجماوات,العقيق,الجماوات
العقيق|الفتح,العقيق,الفتح
قباء|الروابي,قباء,الروابي
العقيق|المدينة الصناعية,العقيق,المدينة الصناعية
أحد|بئر عثمان,أحد,بئر عثمان
أحد|بنى عبد الأشهل,أحد,بنى عبد الأشهل
العوالي|بنى معاوية,العوالي,بنى معاوية
العوالي|الشريبات,العوالي,الشريبات
العقيق|حى الصهلوج,العقيق,حى الصهلوج
العقيق|المغيسلة,العقيق,المغيسلة
أحد|الزهرة,أحد,الزهرة
أحد|سد الغابة,أحد,سد الغابة
بلدية المنطقة المركزية|المغيسلة,بلدية المنطقة المركزية,المغيسلة
العوالي|وادي مهزور,العوالي,وادي مهزور
قباء|وادي مذينب,قباء,وادي مذينب
قباء|نبلاء,قباء,نبلاء
العقيق|عروة,العقيق,عروة
العوالي|حي وادي البطان,العوالي,حي وادي البطان
العوالي|القبيبة,العوالي,القبيبة
بلدية المنطقة المركزية|الحرم الشريف,بلدية المنطقة المركزية,الحرم الشريف
أحد|الشافية,أحد,الشافية
العقيق|القصواء,العقيق,القصواء
قباء|النقا,قباء,النقا
أحد|حى التـلعة,أحد,حى التـلعة
قباء|الدويفعة,قباء,الدويفعة
قباء|الغراء,قباء,الغراء
العقيق|الفريش,العقيق,الفريش
أحد|حى الدار,أحد,حى الدار
قباء|بني خدرة,قباء,بني خدرة
قباء|الخاتم,قباء,الخاتم
قباء|الشلايل,قباء,الشلايل
العقيق|الصناعية,العقيق,الصناعية
العقيق|جماء أم خالد,العقيق,جماء أم خالد
قباء|السكب,قباء,السكب
أحد|العنابس,أحد,العنابس
العقيق|الظاهرة,العقيق,الظاهرة
قباء|الجابرة,قباء,الجابرة
قباء|العريض,قباء,العريض
أحد|الجامعة,أحد,الجامعة
قباء|المزيين,قباء,المزيين
أحد|المندسة,أحد,المندسة
العوالي|قربان,العوالي,قربان
قباء|غير محدد,قباء,غير محدد
قباء|أبوكبير,قباء,أبوكبير
قباء|ابيار الماشي,قباء,ابيار الماشي
العقيق|نبلاء,العقيق,نبلاء
العقيق|أبو مرخة,العقيق,أبو مرخة
أحد|المليليح,أحد,المليليح
العوالي|حى الخضراء,العوالي,حى الخضراء
قباء|سكة الحديد,قباء,سكة الحديد
العقيق|النقا,العقيق,النقا
بلدية المنطقة المركزية|قربان,بلدية المنطقة المركزية,قربان
قباء|العشيرة,قباء,العشيرة
العوالي|عين الخيف,العوالي,عين الخيف
قباء|بنى ظفر,قباء,بنى ظفر
العقيق|المفرحات,العقيق,المفرحات
قباء|حى بنى بياضة,قباء,حى بنى بياضة
العوالي|الرذايا,العوالي,الرذايا
العقيق|غير محدد,العقيق,غير محدد
قباء|الغزلان,قباء,الغزلان
العقيق|بئر الصائغ,العقيق,بئر الصائغ
أحد|وادي الحمض,أحد,وادي الحمض
أحد|السـلام,أحد,السـلام
أحد|غير محدد,أحد,غير محدد
أحد|ضواحي,أحد,ضواحي
العقيق|الجفر,العقيق,الجفر
أحد|السيح,أحد,السيح
أحد|بضاعة,أحد,بضاعة
العوالي|الجمعة,العوالي,الجمعة
العقيق|الحساء,العقيق,الحساء
العقيق|الجمعة,العقيق,الجمعة
قباء|وادي ريم,قباء,وادي ريم
العوالي|غير محدد,العوالي,غير محدد
قباء|حرة الوبرة,قباء,حرة الوبرة
العقيق|المناخة,العقيق,المناخة
العوالي|حى ابو سدر,العوالي,حى ابو سدر
أحد|الحفيا,أحد,الحفيا
العوالي|خارج حدود الاحياء,العوالي,خارج حدود الاحياء
العقيق|الرانوناء,العقيق,الرانوناء
بلدية المنطقة المركزية|المصانع,بلدية المنطقة المركزية,المصانع
قباء|الدفاع,قباء,الدفاع
قباء|عروة,قباء,عروة
العقيق|جبل أحد,العقيق,جبل أحد
أحد|حرة الوبرة,أحد,حرة الوبرة
قباء|السـلام,قباء,السـلام
العوالي|بنى حارثة,العوالي,بنى حارثة
بلدية المنطقة المركزية|السيح,بلدية المنطقة المركزية,السيح
العوالي|الرانوناء,العوالي,الرانوناء
العقيق|ابار الماشي,العقيق,ابار الماشي
قباء|القبلتين,قباء,القبلتين
العقيق|الســيح,العقيق,الســيح
قباء|الأصيفرين,قباء,الأصيفرين
أحد|النقا,أحد,النقا
قباء|الراغية,قباء,الراغية
قباء|ابار الماشي,قباء,ابار الماشي
العقيق|البلقاء,العقيق,البلقاء
العقيق|شـظاة,العقيق,شـظاة
قباء|ذو الحليفة,قباء,ذو الحليفة
قباء|الرمانة,قباء,الرمانة
قباء|الإسكان,قباء,الإسكان
العوالي|المطار,العوالي,المطار
أحد|الجمعة,أحد,الجمعة
أحد|طيبة,أحد,طيبة
العقيق|المطار,العقيق,المطار
بلدية المنطقة المركزية|غير محدد,بلدية المنطقة المركزية,غير محدد
أحد|الرانوناء,أحد,الرانوناء
قباء|ينبع النخل,قباء,ينبع النخل
العوالي|نبلاء,العوالي,نبلاء
العوالي|بنى عبد الأشهل,العوالي,بنى عبد الأشهل
العوالي|الغراء,العوالي,الغراء
أحد|القبلتين,أحد,القبلتين
أحد|شـظاة,أحد,شـظاة
قباء|السقيا,قباء,السقيا
أحد|بنى معاوية,أحد,بنى معاوية
أحد|المطـار,أحد,المطـار
أحد|الملك فهد,أحد,الملك فهد
العقيق|العزيزيه,العقيق,العزيزيه
بلدية المنطقة المركزية|الفتح,بلدية المنطقة المركزية,الفتح
العوالي|بني النجار,العوالي,بني النجار
العقيق|ابيار الماشي,العقيق,ابيار الماشي
قباء|وادي مهزور,قباء,وادي مهزور
العقيق|الحفيا,العقيق,الحفيا
أحد|قربان,أحد,قربان
العوالي|حى حضوضاء,العوالي,حى حضوضاء
العقيق|بئر عثمان,العقيق,بئر عثمان
أحد|الدويخلة,أحد,الدويخلة
العوالي|الدفاع,العوالي,الدفاع
العقيق|العريض,العقيق,العريض
بلدية المنطقة المركزية|العريض,بلدية المنطقة المركزية,العريض
العقيق|بضاعة,العقيق,بضاعة
قباء|السيح,قباء,السيح
العقيق|حي المروج,العقيق,حي المروج
العوالي|الروابي,العوالي,الروابي
العقيق|البركة,العقيق,البركة
العوالي|العزيزية,العوالي,العزيزية
أحد|بني خدرة,أحد,بني خدرة
العوالي|جبل أحد,العوالي,جبل أحد
أحد|الغابه,أحد,الغابه
بلدية المنطقة المركزية|بنى حارثة,بلدية المنطقة المركزية,بنى حارثة
أحد|حى ابو سدر,أحد,حى ابو سدر
العقيق|عــروه,العقيق,عــروه
العقيق|الحديقة,العقيق,الحديقة
العقيق|الملك فهد,العقيق,الملك فهد
العقيق|أبوبريقاء,العقيق,أبوبريقاء
العوالي|حى الصهوة,العوالي,حى الصهوة
العقيق|الجابرة,العقيق,الجابرة
العوالي|أبوبريقاء,العوالي,أبوبريقاء
بلدية المنطقة المركزية|مسجد الدرع,بلدية المنطقة المركزية,مسجد الدرع
العقيق|ورقــان,العقيق,ورقــان
أحد|الحديقة,أحد,الحديقة
أحد|العليا,أحد,العليا
قباء|الجامعة,قباء,الجامعة
أحد|الجابرة,أحد,الجابرة
قباء|العنابس,قباء,العنابس
قباء|خاخ,قباء,خاخ
العوالي|عروة,العوالي,عروة
العوالي|الفتح,العوالي,الفتح
قباء|الخليج,قباء,الخليج
أحد|وسط المبرز التاريخي,أحد,وسط المبرز التاريخي
العوالي|الاسكان,العوالي,الاسكان
العقيق|حى التـلعة,العقيق,حى التـلعة
أحد|سكة الحديد,أحد,سكة الحديد
العقيق|وادي مذينب,العقيق,وادي مذينب
العقيق|النخيل,العقيق,النخيل
العقيق|بنى خدره,العقيق,بنى خدره
أحد|الصناعية,أحد,الصناعية
العقيق|بنى ظفر,العقيق,بنى ظفر
أحد|المغيسلة,أحد,المغيسلة
أحد|الدفاع,أحد,الدفاع
