رقم الرخصة,اسم المنشأة,رقم الجهة
10146367446,المهيدب-آل محمد بن علي بن جماز #14567,3646196296
10153566515,أبا الخيل-الجابر #168,8726636851
10155468650,آل صفوان-الحجار #18840,3760993951
10156565014,"أبو داوود, كانو and الجفالي #349",3831134851
10156837758,المهيدب-آل صفوان #3653,5836162638
10162539481,حنبولي LLC #19153,2243995577
10165966075,حنبولي-الجفالي #16334,1541957440
10168901121,الجابر-آل عواض #10580,3775654364
10169584410,حنبولي-الجابر #1884,1343293968
10171742410,العليان-آل قصير #4637,1888130811
10175106851,الدباغ LLC #12081,6985700482
10175728329,"شربتلي, شربتلي and آل عواض #11387",3198518313
10179839762,بقشان Inc #7718,5199004311
10186581634,آل علي-الراشد #16419,3191889881
10190130294,"آل خضير, العجلان and مهنا #12705",2478011128
10209440566,"آل معيض, آل سعود and أبو داوود #4747",5499090640
10212119527,آل رفيع Inc #6558,4731595123
10221911476,العليان-آل بن ظافر #3723,6076427534
10232192470,فصيل-آل بن لافي #3362,9775244951
10236289758,العجلان and Sons #8064,9441395237
10241196919,آل بن ظافر-الحجار #3559,4628304977
10246784273,الحكير-فصيل #4409,6043046492
10248999850,آل رفيع-آل عواض #2325,9185145675
10249283785,"شربتلي, آل عايض and آل مقطة #15866",6423356199
10258415589,"آل صفوان, بقشان and آل سعود #3200",8313946480
10262830825,بقشان-الشايع #2711,4115720413
10264582381,المغاولة LLC #16093,3718587058
10274635728,الراشد PLC #8240,6725842182
10277515414,آل رفيع LLC #2249,5617065272
10277648166,المشاولة-العليان #10963,3724472285
10282408148,الجفالي-العقيل #13656,4646649216
10283531395,"العجلان, آل محمد بن علي بن جماز and الجفالي #13842",1106689218
10284316823,"آل صفوان, آل خضير and آل علي #1417",1339883331
10286134569,آل العسكري PLC #16780,3675104921
10286990156,"أبو داوود, آل سعود and بن لادن #6389",1474528069
10289225567,"آل رفيع, آل سعود and المغاولة #13396",7915052706
10292460409,الجفالي Group #7704,1472853368
10293124345,"آل معيض, العقيل and آل بن ظافر #7234",8540927978
10295085363,شربتلي-آل عطفة #19189,9946476847
10299106581,"أبو داوود, آل بن ظافر and الحكير #18182",5556667396
10305124792,"الراشد, بقشان and الخرافي #198",1660406802
10310829525,بن لادن PLC #1735,6328040293
10311885782,"آل حسين, آل محمد بن علي بن جماز and آل الشيخ #15257",2616329276
10314008759,"آل محمد بن علي بن جماز, آل الشيخ and آل بن لافي #16020",6939404805
10314394012,"كانو, فصيل and الخرافي #6591",5291526188
10328382870,"آل علي, آل قصير and حنبولي #16534",8856906261
10329099549,الخرافي-الحكير #3070,4636162477
10329497480,العجلان-الدباغ #3869,3151781630
10330415439,آل بن لافي Inc #6662,6728620623
10331966598,المشاولة Ltd #8713,2388650841
10334704340,أبو داوود-الدباغ #435,8590356221
10337209200,آل مقطة-حجار #5438,9678391344
10338255314,أبو داوود-آل جعفر #2829,3605492765
10341854375,"الشايع, آل صفوان and المهيدب #11683",2244943270
10342887399,العقيل Inc #12327,7322531325
10350032412,"أبا الخيل, آل علي and آل عواض #9237",6676285596
10352775809,آل عايض PLC #481,4637390278
10353874511,آل مقطة LLC #2260,2429253095
10375021146,"المهيدب, الشايع and آل حسين #7146",2090933061
10375301083,"آل قصير, المغاولة and الجابر #2974",5956878142
10375963199,الجفالي PLC #17748,7088463040
10385486426,"المهيدب, مهنا and الدباغ #13717",3970991233
10387835160,"آل حسين, آل قصير and الحجار #6555",3076163487
10392690077,"آل صفوان, آل عايض and مهنا #18451",1168433974
10396488272,شربتلي Ltd #3210,9049476394
10396584255,المهنا PLC #16082,3496474799
10397944298,آل صفوان-آل عواض #1361,3676155745
10404059385,آل سلطان-الحكير #3470,5856163233
10404498674,مهنا and Sons #12694,4506221631
10405773556,العجلان-فصيل #13961,9019718803
10407081958,"الحجار, آل العسكري and فصيل #10070",9173271850
10408484760,الخرافي-آل الشيخ #14284,7359027407
10416230120,آل عايض-بن لادن #9009,1891909951
10419833321,المهنا-الجابر #14936,3616294455
10425836694,آل الشيخ-آل قصير #13204,1179588802
10435156483,أبا الخيل-آل بن ظافر #7933,7586776214
10435481735,"الخرافي, المغاولة and آل خضير #7743",1261984949
10440250736,"المهنا, آل عواض and الحكير #1994",9432037086
10444629956,الجفالي-فصيل #18184,9064658059
10446900412,آل سلطان Group #13927,2662320872
10447703041,المهيدب Group #7755,8219647517
10448880119,"آل الشيخ, مهنا and المهيدب #16946",5903920364
10451764956,"آل حسين, آل خضير and آل محمد بن علي بن جماز #1527",7575298151
10455489017,آل رفيع PLC #6427,2531699455
10455656032,الحكير-بقشان #2909,6614804594
10458880578,"الحجار, بقشان and آل معيض #5543",7455067861
10461831518,آل محمد بن علي بن جماز-فصيل #16846,3283553179
10468571462,"آل حسين, بن لادن and أبو داوود #7023",2500864350
10473544491,آل عطفة-آل رفيع #114,2799291800
10480463555,أبو داوود and Sons #9725,3953779435
10486263585,حجار-المهنا #290,1757453067
10487137661,آل بن ظافر-المغاولة #1395,4001065194
10488349542,المهيدب-الجابر #5714,2544767197
10489408621,"آل جعفر, آل عايض and آل عايض #1246",7242948482
10491712160,آل حسين Group #826,6895952843
10491766933,"الخرافي, شربتلي and آل بن ظافر #9875",2595493340
10492304662,آل سلطان Inc #7732,7490645477
10496959279,الشايع LLC #6510,7841765132
10509623314,الشايع Group #17162,7893422569
10514367934,"الشايع, فصيل and المغاولة #15387",6202443047
10515096175,شربتلي-آل رفيع #1044,2968776994
10515523500,"أبا الخيل, آل حسين and آل سعود #10907",5791589965
10530659717,"حجار, آل خضير and الجابر #473",5404537388
10533529222,آل قصير-آل الشيخ #1141,1893585889
10537297767,كانو-آل محمد بن علي بن جماز #988,9897893907
10542922725,آل بن لافي PLC #12186,8951280698
10549031833,"الجفالي, آل صفوان and آل سلطان #7144",6791255616
10549438280,آل العسكري LLC #5847,1574239581
10557139748,"الخرافي, فصيل and العليان #16010",5314027709
10558987429,"آل بن لافي, آل العسكري and حنبولي #18507",5318164304
10561762041,"آل بن لافي, آل عطفة and آل سعود #11616",8998701237
10562883663,آل حسين-آل معيض #16241,8551601566
10563488594,آل جعفر Inc #5138,8378852669
10564691782,العليان and Sons #13404,8498539539
10568207165,آل محمد بن علي بن جماز-آل بن ظافر #16162,4175285809
10576402380,العجلان-آل محمد بن علي بن جماز #884,4833254496
10581729617,آل عطفة Group #12789,2441049631
10594173761,آل خضير-بن لادن #7431,6334924045
10600106538,الجابر-حنبولي #1318,9080347812
10604775821,"آل قصير, العقيل and الحجار #16363",3846367784
10605856553,"كانو, أبو داوود and الدباغ #16007",9980512741
10608343876,آل قصير-حنبولي #9752,5294228693
10608824206,"العجلان, آل سلطان and الجابر #15245",9426168761
10609249057,"آل معيض, المهنا and آل مقطة #594",9985349083
10611865160,أبا الخيل Group #14760,9877849558
10611967060,الراشد-مهنا #17256,5554883972
10617904436,"العليان, العجلان and آل الشيخ #12193",7069957083
10623426974,المهيدب-الجابر #5714,2544767197
10625459969,"مهنا, آل الشيخ and العقيل #8498",8846239223
10626702615,آل عواض and Sons #10896,9985808321
10628294242,آل مقطة PLC #2126,4548346692
10629694986,المغاولة-المهيدب #12176,8925197032
10631095578,المغاولة-آل صفوان #3649,2062070526
10633284474,"الجفالي, الجفالي and آل صفوان #1048",5680287774
10637147688,بن لادن-كانو #19004,5230834118
10647789472,آل مقطة and Sons #13880,6053341977
10648391316,"حجار, آل الشيخ and آل الشيخ #3441",1106860275
10651028482,أبا الخيل-المشاولة #3104,7247770018
10652385154,آل عايض-المغاولة #4871,4951471432
10653450269,آل جعفر-الخرافي #2973,6037193493
10655932472,آل سعود-أبا الخيل #2349,1337573027
10664541796,شربتلي Group #5414,8988834665
10667466386,الحجار Ltd #10553,2646709721
10667604283,آل سلطان PLC #1898,9434314314
10675016868,الراشد-آل معيض #8940,5633550837
10678758302,"فصيل, آل بن لافي and فصيل #16696",6224353036
10679889363,"آل محمد بن علي بن جماز, الجابر and آل عايض #2570",7184217927
10683943859,آل خضير-الراشد #14753,4741328421
10686730950,"آل بن لافي, آل معيض and آل سعود #13023",9492800862
10687007266,حنبولي Ltd #18690,9272652711
10697563608,العقيل Ltd #9329,3234091967
10709022585,آل العسكري-كانو #18734,4629668332
10717224883,الجابر-آل بن ظافر #13698,5287847989
10717641657,المهنا Group #4726,1990041788
10720595796,"آل سعود, آل خضير and بن لادن #8333",5015748109
10722387141,المغاولة Ltd #12213,2573371450
10723864046,الخرافي-أبا الخيل #3191,7459485205
10727692175,كانو PLC #10005,4652335788
10733259423,"الدباغ, شربتلي and آل محمد بن علي بن جماز #14850",2974215047
10743272590,"حنبولي, أبو داوود and أبو داوود #8893",2266826065
10744647097,الجفالي-آل حسين #6916,7283698257
10745800435,"المهيدب, آل عواض and فصيل #1236",4818278089
10750247951,"المشاولة, الراشد and آل العسكري #10296",6506364908
10754652011,آل بن لافي-آل جعفر #5707,2814605352
10756380491,آل بن ظافر PLC #3834,9834209483
10758728068,أبو داوود-آل قصير #485,2182674121
10773009909,العليان-شربتلي #9645,1011314934
10776889860,آل محمد بن علي بن جماز PLC #14907,5582302482
10782424894,الدباغ Ltd #436,3977397093
10783629433,"العليان, الحجار and أبا الخيل #10948",5550022301
10795051473,بقشان Group #11569,1259116298
10795207343,آل قصير PLC #10044,3169321829
10795463632,"آل عايض, فصيل and أبو داوود #4955",8656891324
10801444305,آل علي-حجار #15865,1055059784
10808912597,"آل محمد بن علي بن جماز, العقيل and آل سلطان #1128",4516886639
10809600923,"العليان, مهنا and آل خضير #2318",5702503210
10814784490,آل محمد بن علي بن جماز-العجلان #17111,3984662402
10819095743,الشايع LLC #10342,3164374458
10824128153,العقيل-شربتلي #10269,4356038642
10825986537,بقشان-الجابر #1969,4345099475
10826752253,"العليان, آل مقطة and آل عواض #4808",8586011232
10828167987,المهيدب-آل عواض #8423,1199755336
10834488073,آل قصير and Sons #16978,7405054276
10835583744,آل جعفر Ltd #13215,3800558911
10841616910,"الجفالي, بن لادن and المهنا #7915",8223203255
10844439648,أبو داوود-شربتلي #48,4413015641
10846388511,فصيل-العجلان #11917,2368508299
10860740230,"آل صفوان, آل صفوان and آل بن ظافر #3019",4711343223
10861501460,الحجار-آل الشيخ #18179,2541250375
10865115201,آل الشيخ-أبا الخيل #2930,7120331299
10867376840,"المهنا, آل بن ظافر and فصيل #8640",1909308096
10874853002,"آل صفوان, شربتلي and العليان #17223",2610692460
10884720435,كانو-العجلان #12335,6142465868
10886611743,آل عايض-الراشد #9591,6790278860
10887871263,آل عواض PLC #12612,2549619910
10893206946,مهنا Group #12836,6554785294
10896250072,"العقيل, المغاولة and الحكير #440",1521769172
10899038627,آل رفيع Group #16509,3882360393
10912137660,آل قصير-آل عطفة #15421,8199747416
10912586110,"بن لادن, آل العسكري and آل جعفر #6518",6933859061
10916163901,"مهنا, الحجار and آل خضير #17371",5367983981
10916319777,الراشد Ltd #13192,3819883336
10917345481,"آل رفيع, آل رفيع and حجار #8725",4163900087
10918553454,"بن لادن, آل رفيع and مهنا #10009",3972924208
10922383674,"آل رفيع, آل بن لافي and آل عواض #7632",7275598514
10927835405,أبو داوود and Sons #7528,1175096499
10930105976,"الحكير, آل عواض and أبو داوود #7297",8528383723
10934956408,فصيل LLC #11150,5818286771
10935159029,الشايع-آل صفوان #4502,6540664910
10942618856,الجفالي-أبا الخيل #1326,8230001165
10943555075,"الجابر, حجار and شربتلي #10571",9650929137
10949368065,شربتلي-آل الشيخ #2149,3536398089
10952336143,آل جعفر and Sons #14589,6685049350
10956532846,آل سعود-آل الشيخ #11110,5099075791
10958504166,"أبا الخيل, المهيدب and فصيل #2722",1154049307
10960232230,"آل مقطة, آل معيض and كانو #3637",5796946368
10967017152,"فصيل, الجفالي and الشايع #2605",6672644248
10974622134,حجار Group #1071,8047904487
10975620226,الشايع-فصيل #13548,7063201345
10985143725,"آل قصير, كانو and بقشان #11238",8489026462
10989846771,آل سلطان Ltd #12838,8476266324
10989975904,المهيدب-آل سلطان #11228,7230228050
10990805523,الراشد Group #13276,2073113902
10993556970,"آل عطفة, الجفالي and آل معيض #13233",8019912005
11001399476,المغاولة Group #16494,1138763756
11004446291,حنبولي-آل بن لافي #3513,1785180513
11006338222,بن لادن-العجلان #12770,7757214867
11015564113,آل سلطان PLC #2271,4633660628
11017770994,شربتلي Group #5220,8211408444
11032078699,شربتلي-أبو داوود #2443,7776803903
11033961799,آل صفوان-أبا الخيل #18476,3110798579
11039491810,آل رفيع and Sons #3775,3590814341
11040672228,"مهنا, آل علي and حنبولي #4256",4380443036
11041666261,المشاولة and Sons #14748,9212125320
11044036630,فصيل Ltd #16071,3226169058
11049070618,المهنا Group #6820,5902810887
11053445743,المهيدب Group #2314,5678426803
11056330356,آل رفيع-العليان #2604,4621529004
11060914855,العليان-حجار #15355,6164534330
11062523008,آل عواض Group #14131,1402402842
11063395034,الراشد-آل معيض #8940,5633550837
11063843787,بن لادن Ltd #1777,8248690206
11066285792,العقيل Inc #8194,7565281602
11075357159,حنبولي Group #3315,1585085346
11076017881,"الخرافي, آل بن ظافر and آل معيض #12636",7380837295
11079884011,"آل عواض, آل معيض and أبا الخيل #15415",8836449858
11082598183,آل معيض-مهنا #10873,5821901558
11084377843,العجلان and Sons #18999,1941929800
11085814139,آل معيض-آل رفيع #18100,3239080989
11086837341,الراشد-آل معيض #8940,5633550837
11092149730,الحجار-العقيل #4227,5819127447
11101347389,"حجار, العليان and آل سلطان #13338",3371163028
11101538750,الجفالي-بقشان #917,6087599588
11102619659,آل علي Inc #5160,7852069133
11103541578,"أبو داوود, مهنا and أبو داوود #7666",1240787008
11104552016,"الشايع, أبا الخيل and آل محمد بن علي بن جماز #11757",1565988744
11104623324,بن لادن Group #14601,4718403322
11106081902,العقيل-العقيل #25,1327733790
11107289556,آل العسكري PLC #5076,2777734091
11107933548,"آل عواض, آل حسين and شربتلي #10849",6290002938
11113265982,"حجار, العليان and آل العسكري #2957",3248139051
11118824345,الحكير Ltd #16929,7274093890
11119959151,"الخرافي, الراشد and آل بن لافي #4421",7004334615
11126506907,الشايع Group #4044,7585203707
11126965141,"آل صفوان, آل قصير and آل مقطة #13316",7201288213
11130490607,فصيل-آل خضير #17680,6500676156
11134032019,المشاولة-الخرافي #10035,5935495092
11149372524,حنبولي-حجار #12294,7318463853
11157056531,المهيدب-الحجار #162,1923329079
11164197433,أبو داوود-أبا الخيل #13908,1338444340
11168423678,آل خضير Ltd #10451,2481138586
11168481878,آل محمد بن علي بن جماز and Sons #13392,3016532550
11169117906,"المغاولة, كانو and حنبولي #13161",7161210600
11169590293,الشايع-بقشان #16672,8374440696
11176040025,"آل معيض, الخرافي and آل العسكري #8923",8713995849
11176897161,"الدباغ, كانو and آل عطفة #3142",7707854378
11180485149,"العليان, الراشد and آل عايض #10314",3086160436
11181663626,كانو and Sons #8653,2865100470
11182923895,"آل الشيخ, الجابر and العليان #13753",7973806904
11184453160,أبو داوود Ltd #37,2143184596
11196382710,"كانو, المهيدب and العجلان #8820",8638967329
11196995005,آل جعفر-آل سلطان #6456,2588880595
11199018364,أبا الخيل-آل سلطان #18397,4755958301
11200980873,كانو-فصيل #15515,5636898818
11201031173,آل قصير-آل الشيخ #1141,1893585889
11208209400,"العجلان, آل جعفر and أبو داوود #6053",6572703364
11213647296,"العليان, بقشان and العليان #8968",1179097435
11216770568,آل صفوان PLC #11039,4055203585
11222369737,أبو داوود-الدباغ #435,8590356221
11224842752,آل سلطان-آل حسين #3498,2844812614
11227364147,آل علي-أبو داوود #13037,5749719355
11232110184,الحجار PLC #3739,2207869079
11233392930,آل العسكري Ltd #2393,8522534302
11236011840,"بن لادن, آل علي and حجار #4590",6942685114
11236943212,كانو-آل قصير #19407,8792543888
11237136873,آل بن لافي Group #6496,4801373785
11237973828,المهنا-آل محمد بن علي بن جماز #16000,7622708283
11240335859,الخرافي-الجفالي #1435,1025654544
11245879484,آل جعفر-آل عايض #14645,3875307576
11250338436,شربتلي PLC #3107,2582150402
11255490670,"الخرافي, المهنا and المهيدب #1303",9348248606
11255522967,الراشد Ltd #2230,5326138590
11256172379,الراشد-آل عايض #2733,4389745911
11260604293,آل رفيع Ltd #563,6218063810
11266839293,"المهنا, آل عواض and الحكير #1994",9432037086
11280197306,الخرافي-آل قصير #8752,3558026192
11280561163,الدباغ Group #10545,5192382566
11287342077,الحجار-الجابر #9014,5893653670
11292396951,مهنا Group #11771,3178479488
11293589538,الدباغ-آل رفيع #3724,9306935448
11299044900,أبو داوود-آل عايض #4125,2023096068
11301873741,آل قصير-العقيل #5405,6461266090
11306770580,حجار and Sons #11273,2739747358
11312268301,آل عطفة-حجار #13594,5413731204
11314147339,آل سلطان-بن لادن #18251,9411659378
11314209066,"الدباغ, آل محمد بن علي بن جماز and العقيل #7922",4649109824
11317201035,العجلان Ltd #13943,9356405278
11321905240,"آل سلطان, آل صفوان and آل عطفة #17883",4504369439
11322901882,بن لادن Ltd #9395,2969844842
11324380768,"آل مقطة, آل عطفة and مهنا #5446",5466440761
11325791200,آل علي Inc #18881,4872855710
11329712533,الجفالي and Sons #3416,1354010902
11331215043,"أبا الخيل, آل رفيع and حجار #7503",9954576665
11331217485,آل بن لافي-الخرافي #2652,9082249559
11334725663,المهيدب Inc #2619,5259726276
11343219655,"آل جعفر, المهنا and آل عواض #14099",6182498914
11345767590,آل عايض-المشاولة #6311,7818559855
11347034389,"الجابر, آل حسين and العجلان #2047",1197286459
11351155906,آل رفيع-الجفالي #1504,7730580427
11354803616,شربتلي and Sons #17828,6950095933
11358648876,فصيل LLC #18599,7637435149
11361183583,آل مقطة Ltd #1272,7577243813
11362509240,آل علي PLC #615,1841615617
11364489500,آل بن لافي-المهيدب #17113,6522045113
11369567605,بقشان Group #721,9468576327
11378904120,آل بن ظافر-مهنا #14445,2281893050
11389507108,الدباغ-الجابر #2863,9227926575
11390111536,آل سلطان LLC #15504,4609801593
11398849418,"آل معيض, فصيل and آل حسين #8312",8677099074
11401207445,المهيدب-آل علي #4012,2148745449
11403193392,آل حسين and Sons #6700,8389465838
11407353255,آل محمد بن علي بن جماز-حجار #11023,5936822975
11409252154,حجار-الحجار #17375,2400112128
11409786102,آل عايض and Sons #15161,8632523653
11409973735,"حجار, آل حسين and حنبولي #11726",3874344402
11410199220,فصيل-آل حسين #6404,3379140322
11416280462,آل معيض and Sons #3440,4378272830
11417391153,آل العسكري Inc #11445,6179741482
11426252447,"آل بن لافي, آل عايض and آل عواض #852",4637018439
11448084041,"الشايع, آل علي and آل سلطان #12345",8342511430
11457123212,آل علي Group #2935,9236181438
11457863546,آل صفوان-آل عواض #1361,3676155745
11458039132,حجار-آل عواض #7651,2695779854
11466188022,آل جعفر-المغاولة #5762,2131789581
11469982203,مهنا-الجفالي #4835,3442838876
11470446868,آل معيض-الخرافي #9268,3029504916
11472083149,مهنا-آل علي #6361,8590051005
11481100860,آل علي PLC #12071,4748757299
11481272308,شربتلي Inc #15723,4351439288
11486723279,مهنا-العجلان #3508,2286700296
11486948347,آل محمد بن علي بن جماز LLC #8022,3418948916
11487147568,أبو داوود-آل العسكري #11180,3362083810
11488630399,آل الشيخ-آل خضير #3269,7685602843
11491524166,"آل عواض, المهيدب and آل بن لافي #998",6837471252
11491598799,العقيل Inc #12784,8410482041
11491906554,حجار Ltd #2836,2884064381
11495121821,"آل عايض, آل بن ظافر and آل سلطان #8661",3130349505
11501498224,"المشاولة, المغاولة and آل سعود #15951",8210930074
11508874553,"آل العسكري, آل رفيع and الخرافي #9324",5718036514
11511361253,"آل سعود, أبو داوود and الحكير #11243",6591949878
11517914847,فصيل PLC #467,1335920725
11519712354,"آل عايض, الراشد and آل محمد بن علي بن جماز #17486",3969258325
11523969893,العجلان Inc #4101,5706144393
11529108374,آل عواض-حنبولي #14917,7001161817
11536049757,"آل عايض, آل الشيخ and المهيدب #3233",3577444824
11536260996,آل سلطان Inc #14635,4453734572
11549125999,العجلان Ltd #8525,2971332997
11549940479,الجفالي-آل العسكري #5349,1074201113
11553076954,"آل سعود, آل صفوان and العقيل #7033",7449733840
11555496779,الشايع and Sons #17253,2289101611
11560191187,"آل قصير, المهيدب and الشايع #15471",5187247665
11565650200,"العقيل, آل العسكري and الخرافي #15520",4303046681
11568170984,مهنا-آل خضير #137,1989523093
11570512706,المهيدب PLC #10276,2894923420
11573635977,آل خضير Ltd #7094,4300627921
11575751044,"المغاولة, آل رفيع and مهنا #19199",4308853802
11577673505,آل معيض Group #11891,4806891833
11586121041,"أبو داوود, آل خضير and حجار #8256",5428348948
11587005797,الحجار PLC #16170,2930281349
11593111913,آل العسكري LLC #16022,5119808395
11598828875,آل جعفر-بن لادن #2234,4478804975
11602954587,"آل عواض, المشاولة and الشايع #7991",5166815061
11604042667,العجلان Inc #709,4045928730
11604474909,الحجار-كانو #4748,8441639338
11608188474,آل عواض PLC #17744,2099515247
11608677975,حجار PLC #2825,1600407411
11612661204,أبو داوود-كانو #9269,1876477601
11612688866,"آل سعود, مهنا and آل سعود #16895",8856327265
11614266485,العجلان-آل سعود #7846,8367197078
11655836171,"المهنا, آل عايض and مهنا #665",4289087482
11658668742,"آل خضير, كانو and المغاولة #1131",6561863597
11659411941,آل قصير-آل الشيخ #1141,1893585889
11660137380,"مهنا, كانو and الخرافي #7364",3025968149
11663228042,"العقيل, آل الشيخ and بن لادن #12210",7989360192
11674359949,"آل محمد بن علي بن جماز, المهنا and الحكير #6757",5659257963
11675089509,"آل قصير, بقشان and المهنا #6373",1626571363
11678471415,المشاولة Ltd #8486,2178462157
11680918298,آل مقطة LLC #5843,2985539859
11695102381,آل عطفة PLC #13,1734776533
11700014681,"الخرافي, آل جعفر and آل بن ظافر #3928",6233813193
11700249409,المغاولة Ltd #10695,9177482211
11703054324,"آل عطفة, آل محمد بن علي بن جماز and آل العسكري #12127",1640047351
11705078548,"الراشد, آل علي and المهنا #7021",5310312434
11707167563,آل محمد بن علي بن جماز LLC #7684,7374633774
11714732563,"مهنا, آل بن ظافر and آل خضير #1999",1765758284
11714848095,المشاولة-فصيل #4852,2356914057
11729432925,أبا الخيل-مهنا #10333,3748193421
11736838965,العليان-آل محمد بن علي بن جماز #14340,6974799936
11738368707,"آل معيض, آل مقطة and آل سعود #8847",2025615560
11741670515,كانو Inc #3373,9140588001
11741710721,"الراشد, المشاولة and الجابر #12708",4787636491
11746834605,"فصيل, آل بن لافي and العجلان #9623",1721342833
11753689885,آل علي-آل رفيع #8139,6339583169
11764814055,"آل بن ظافر, آل بن لافي and آل سلطان #8460",5009988820
11767710152,المهنا Inc #4444,4463802209
11769282808,آل صفوان-المغاولة #5527,3133134004
11773349068,آل مقطة and Sons #15176,6485240478
11774962632,شربتلي-آل العسكري #17351,1284594381
11778605523,"حجار, العليان and آل العسكري #2957",3248139051
11778642318,الحجار-آل بن ظافر #18121,1160850959
11780455204,آل بن لافي LLC #1594,5353767467
11786845253,"آل عواض, آل جعفر and الجفالي #18382",3928876305
11789689578,أبو داوود-آل الشيخ #15998,8282888401
11793868637,بقشان Ltd #7918,9949545565
11797202087,"الجابر, آل سعود and آل معيض #14170",6787504582
11801887328,آل بن ظافر-آل بن لافي #9214,8506664760
11806562983,"آل عواض, الدباغ and العليان #9151",4253244253
11808012527,العجلان-آل قصير #2884,1420722745
11811276413,آل عطفة Inc #2286,4883660495
11813969303,"أبو داوود, الدباغ and الحجار #1406",7047751331
11820623194,"آل سلطان, آل خضير and آل معيض #6635",2920507197
11824981769,"آل قصير, آل الشيخ and آل بن ظافر #4202",3608006164
11826477989,"آل مقطة, شربتلي and آل قصير #5450",5293554265
11827372037,الشايع-شربتلي #6941,1239657889
11830682650,آل محمد بن علي بن جماز-المهيدب #12613,2790917542
11834265521,"آل العسكري, حجار and آل عطفة #12352",7190181022
11835755956,آل صفوان Inc #12298,5336073223
11840938307,"المغاولة, المهنا and المهيدب #2273",2469635410
11841742807,مهنا Ltd #19519,5479832313
11847919606,"مهنا, العليان and كانو #2351",5741763126
11860101286,آل بن ظافر Inc #18161,2422133830
11864096924,آل معيض-آل سعود #1565,5703536548
11867513858,"الجفالي, بقشان and آل مقطة #71",4562017479
11868040968,آل جعفر Group #515,9427409679
11872357367,"آل عطفة, الجابر and كانو #5005",3349689476
11875854015,شربتلي LLC #6979,7084569307
11876417298,آل الشيخ and Sons #11206,6678754774
11878451838,آل صفوان-المغاولة #18691,2892238786
11878933057,"آل رفيع, العجلان and آل بن لافي #8558",5114445879
11890342837,المهنا-الحجار #6869,1373076332
11897887003,آل مقطة Ltd #1231,4071673778
11907736226,"الشايع, آل مقطة and آل معيض #17772",2505846809
11918325476,"فصيل, آل بن ظافر and حنبولي #18348",1239325685
11921765692,أبا الخيل Group #358,8656053880
11923082740,الجابر-شربتلي #6736,3485766290
11925934207,"آل العسكري, الحكير and آل صفوان #9882",2651762892
11934732210,"فصيل, مهنا and آل عواض #965",6312418210
11939808081,آل عواض-آل خضير #12088,4178143065
11943090679,الجابر and Sons #121,5130431978
11946756437,"الجفالي, الخرافي and الشايع #14575",5636014523
11950947977,"الخرافي, الدباغ and الحكير #8038",3748953478
